# Parameter, Value, Units
SPARAM, S21, 
CALSET, None, 
STARTPOWER, -40.0, dB
ENDPOWER, -95.0, dB
NUMSWEEPS, 12, 
CENTERF, 6.59051, GHz
SPAN, 5.0, MHz
TEMP, 11.058, mK
STARTING AVERAGES, 34
EDELAY, 63.27, ns
IFBAND, 1.0, kHz
POINTS, 1001, 
