# Parameter, Value, Units
SPARAM, S21, 
CALSET, None, 
STARTPOWER, 0.0, dB
ENDPOWER, -35.0, dB
NUMSWEEPS, 8, 
CENTERF, 4.49859, GHz
SPAN, 0.2, MHz
TEMP, 13.528, mK
STARTING AVERAGES, 1
EDELAY, 63.27, ns
IFBAND, 1.0, kHz
POINTS, 1001, 
